         20310945 function calls (20131090 primitive calls) in 25.339 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
    34462    0.007    0.000    0.009    0.000 /Users/seiryu8808/opt/anaconda3/lib/python3.7/site-packages/nltk/tokenize/punkt.py:247(_word_tokenizer_re)
    34462    0.007    0.000    0.007    0.000 {method 'strip' of 'str' objects}
    56420    0.006    0.000    0.006    0.000 {method 'add' of 'set' objects}
    18000    0.006    0.000    0.009    0.000 /Users/seiryu8808/opt/anaconda3/lib/python3.7/site-packages/nltk/tokenize/punkt.py:450(first_lower)
        1    0.004    0.004    0.553    0.553 /Users/seiryu8808/opt/anaconda3/lib/python3.7/site-packages/pandas/io/parsers.py:425(_read)
    23732    0.004    0.000    0.004    0.000 {method 'isupper' of 'str' objects}
    16475    0.004    0.000    0.004    0.000 {method 'start' of 're.Match' objects}
        1    0.003    0.003    0.003    0.003 {built-in method scipy.sparse._sparsetools.csr_sum_duplicates}
       12    0.003    0.000    0.003    0.000 {method 'sort' of 'numpy.ndarray' objects}
       31    0.003    0.000    0.003    0.000 {method 'ravel' of 'numpy.ndarray' objects}
    17404    0.003    0.000    0.003    0.000 {method 'end' of 're.Match' objects}
        1    0.003    0.003    0.003    0.003 {built-in method scipy.sparse._sparsetools.csc_matvec}
       59    0.003    0.000    0.003    0.000 {method 'reduce' of 'numpy.ufunc' objects}
    18000    0.003    0.000    0.003    0.000 {method 'islower' of 'str' objects}
        1    0.002    0.002    0.002    0.002 {built-in method scipy.sparse._sparsetools.csr_column_index1}
        4    0.002    0.001    0.002    0.001 {pandas._libs.algos.take_2d_axis0_object_object}
        1    0.002    0.002   24.954   24.954 src/modules/modelling/model.py:91(prepare_data)
        2    0.002    0.001    0.002    0.001 {method 'close' of '_io.TextIOWrapper' objects}
        1    0.002    0.002    0.002    0.002 {method 'permutation' of 'numpy.random.mtrand.RandomState' objects}
        1    0.002    0.002    0.002    0.002 {method 'read' of '_io.FileIO' objects}
       57    0.001    0.000    0.002    0.000 /Users/seiryu8808/opt/anaconda3/lib/python3.7/site-packages/pandas/core/generic.py:5181(__setattr__)
        3    0.001    0.000    0.001    0.000 {built-in method io.open}
     2838    0.001    0.000    0.002    0.000 /Users/seiryu8808/opt/anaconda3/lib/python3.7/site-packages/pandas/core/dtypes/generic.py:7(_check)
