         64870380 function calls (61106257 primitive calls) in 46.589 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
   323054    0.156    0.000    0.156    0.000 /Users/seiryu8808/opt/anaconda3/lib/python3.7/site-packages/pandas/core/series.py:443(_set_subtyp)
214253/214217    0.143    0.000    0.144    0.000 {built-in method numpy.array}
   216476    0.142    0.000    0.257    0.000 /Users/seiryu8808/opt/anaconda3/lib/python3.7/site-packages/pandas/core/series.py:453(name)
   109806    0.141    0.000    0.141    0.000 /Users/seiryu8808/opt/anaconda3/lib/python3.7/site-packages/pandas/core/generic.py:162(__init__)
428595/428096    0.134    0.000    0.598    0.000 <frozen importlib._bootstrap>:1009(_handle_fromlist)
      102    0.130    0.001    0.130    0.001 {method 'copy' of 'numpy.ndarray' objects}
   107606    0.130    0.000    0.612    0.000 /Users/seiryu8808/opt/anaconda3/lib/python3.7/site-packages/pandas/core/internals/blocks.py:2771(__init__)
   214148    0.121    0.000    0.122    0.000 {built-in method _abc._abc_instancecheck}
   109778    0.115    0.000    0.115    0.000 /Users/seiryu8808/opt/anaconda3/lib/python3.7/site-packages/pandas/core/generic.py:5162(__getattr__)
   107092    0.113    0.000    0.380    0.000 /Users/seiryu8808/opt/anaconda3/lib/python3.7/site-packages/pandas/core/dtypes/dtypes.py:1092(is_dtype)
   213611    0.110    0.000    0.970    0.000 /Users/seiryu8808/opt/anaconda3/lib/python3.7/site-packages/pandas/core/dtypes/common.py:357(is_categorical)
   109901    0.108    0.000    0.139    0.000 /Users/seiryu8808/opt/anaconda3/lib/python3.7/site-packages/pandas/core/internals/blocks.py:243(mgr_locs)
   322970    0.107    0.000    0.731    0.000 /Users/seiryu8808/opt/anaconda3/lib/python3.7/site-packages/pandas/core/series.py:720(__len__)
       78    0.107    0.001    0.107    0.001 {method 'astype' of 'numpy.ndarray' objects}
   214079    0.105    0.000    0.678    0.000 /Users/seiryu8808/opt/anaconda3/lib/python3.7/site-packages/pandas/core/dtypes/common.py:678(is_categorical_dtype)
       37    0.103    0.003    0.103    0.003 {built-in method pandas._libs.missing.isnaobj}
   106800    0.099    0.000    0.230    0.000 /Users/seiryu8808/opt/anaconda3/lib/python3.7/site-packages/pandas/core/dtypes/common.py:951(is_integer_dtype)
   106787    0.096    0.000    1.192    0.000 /Users/seiryu8808/opt/anaconda3/lib/python3.7/site-packages/pandas/core/dtypes/common.py:1684(is_extension_type)
   214148    0.087    0.000    0.208    0.000 /Users/seiryu8808/opt/anaconda3/lib/python3.7/abc.py:137(__instancecheck__)
   107058    0.078    0.000    0.356    0.000 /Users/seiryu8808/opt/anaconda3/lib/python3.7/site-packages/pandas/core/dtypes/dtypes.py:912(is_dtype)
   329253    0.078    0.000    0.078    0.000 /Users/seiryu8808/opt/anaconda3/lib/python3.7/site-packages/pandas/core/internals/managers.py:236(items)
        1    0.075    0.075    0.075    0.075 {built-in method psycopg2._psycopg._connect}
   182633    0.074    0.000    0.075    0.000 /Users/seiryu8808/opt/anaconda3/lib/python3.7/re.py:307(_subx)
   106714    0.069    0.000    0.302    0.000 /Users/seiryu8808/opt/anaconda3/lib/python3.7/site-packages/pandas/core/internals/arrays.py:7(extract_array)
       11    0.064    0.006    0.070    0.006 /Users/seiryu8808/opt/anaconda3/lib/python3.7/site-packages/pandas/core/internals/managers.py:1854(_stack_arrays)
       19    0.063    0.003    1.623    0.085 /Users/seiryu8808/opt/anaconda3/lib/python3.7/site-packages/pandas/core/internals/blocks.py:2939(_replace_single)
   106644    0.062    0.000    0.062    0.000 /Users/seiryu8808/opt/anaconda3/lib/python3.7/site-packages/pandas/core/apply.py:124(columns)
   112720    0.060    0.000    3.169    0.000 /Users/seiryu8808/opt/anaconda3/lib/python3.7/ast.py:30(parse)
       10    0.059    0.006    0.059    0.006 {pandas._libs.algos.take_2d_axis1_object_object}
   329292    0.058    0.000    0.058    0.000 {built-in method builtins.hash}
        1    0.054    0.054    5.602    5.602 /Users/seiryu8808/opt/anaconda3/lib/python3.7/site-packages/pandas/io/sql.py:263(read_sql_query)
   113468    0.054    0.000    0.054    0.000 {method 'lower' of 'str' objects}
   106715    0.053    0.000    0.053    0.000 {pandas._libs.lib.infer_datetimelike_array}
       21    0.053    0.003    0.053    0.003 {pandas._libs.algos.take_2d_axis0_object_object}
        1    0.053    0.053    0.055    0.055 {method 'read' of 'pandas._libs.parsers.TextReader' objects}
   106697    0.052    0.000    0.113    0.000 /Users/seiryu8808/opt/anaconda3/lib/python3.7/site-packages/pandas/core/dtypes/cast.py:1264(construct_1d_ndarray_preserving_na)
   107188    0.049    0.000    0.428    0.000 /Users/seiryu8808/opt/anaconda3/lib/python3.7/site-packages/pandas/core/dtypes/common.py:642(is_interval_dtype)
      269    0.049    0.000    0.049    0.000 {built-in method numpy.empty}
   107058    0.047    0.000    0.403    0.000 /Users/seiryu8808/opt/anaconda3/lib/python3.7/site-packages/pandas/core/dtypes/common.py:608(is_period_dtype)
       58    0.043    0.001    0.043    0.001 {built-in method marshal.loads}
   109900    0.043    0.000    0.043    0.000 /Users/seiryu8808/opt/anaconda3/lib/python3.7/site-packages/pandas/core/internals/blocks.py:131(_check_ndim)
     7024    0.042    0.000    0.378    0.000 /Users/seiryu8808/opt/anaconda3/lib/python3.7/site-packages/nltk/tokenize/treebank.py:117(tokenize)
        1    0.039    0.039    0.039    0.039 {built-in method _pickle.load}
   111965    0.037    0.000    0.325    0.000 /Users/seiryu8808/Desktop/UWinsc/Github/UnacquiredSites/src/modules/preprocessing/utils.py:25(<lambda>)
        1    0.032    0.032   15.468   15.468 /Users/seiryu8808/Desktop/UWinsc/Github/UnacquiredSites/src/modules/preprocessing/nlp_sentence_loader.py:16(preprocessed_sentences_sql)
      175    0.032    0.000    0.032    0.000 {method 'ravel' of 'numpy.ndarray' objects}
   107019    0.031    0.000    0.047    0.000 /Users/seiryu8808/opt/anaconda3/lib/python3.7/site-packages/pandas/core/dtypes/common.py:219(<lambda>)
        2    0.028    0.014    0.028    0.014 {method 'close' of 'psycopg2.extensions.cursor' objects}
    13913    0.027    0.000    0.045    0.000 /Users/seiryu8808/opt/anaconda3/lib/python3.7/site-packages/nltk/tokenize/punkt.py:1333(_slices_from_text)
   107019    0.027    0.000    0.027    0.000 /Users/seiryu8808/opt/anaconda3/lib/python3.7/site-packages/pandas/core/dtypes/common.py:214(classes_and_not_datetimelike)
        1    0.025    0.025    0.025    0.025 {pandas._libs.lib.to_object_array_tuples}
       19    0.023    0.001    0.156    0.008 /Users/seiryu8808/opt/anaconda3/lib/python3.7/site-packages/pandas/core/internals/concat.py:177(get_reindexed_values)
   136631    0.022    0.000    0.022    0.000 {method 'append' of 'list' objects}
       58    0.021    0.000    0.021    0.000 {method 'read' of '_io.FileIO' objects}
     6891    0.020    0.000    0.094    0.000 /Users/seiryu8808/opt/anaconda3/lib/python3.7/site-packages/nltk/data.py:222(normalize_resource_name)
     6889    0.020    0.000    0.219    0.000 /Users/seiryu8808/opt/anaconda3/lib/python3.7/site-packages/nltk/data.py:780(load)
   106732    0.020    0.000    0.020    0.000 {pandas._libs.algos.ensure_object}
   110372    0.020    0.000    0.020    0.000 /Users/seiryu8808/opt/anaconda3/lib/python3.7/site-packages/pandas/core/internals/blocks.py:239(mgr_locs)
    28362    0.019    0.000    0.019    0.000 {method 'split' of 'str' objects}
        4    0.019    0.005    0.019    0.005 {method 'factorize' of 'pandas._libs.hashtable.Factorizer' objects}
       61    0.019    0.000    0.019    0.000 {pandas._libs.lib.maybe_convert_objects}
   112720    0.018    0.000    0.071    0.000 /Users/seiryu8808/opt/anaconda3/lib/python3.7/site-packages/pandas/core/strings.py:3237(<lambda>)
     6890    0.017    0.000    0.020    0.000 /Users/seiryu8808/opt/anaconda3/lib/python3.7/site-packages/nltk/compat.py:211(add_py3_data)
     3052    0.017    0.000    1.395    0.000 /Users/seiryu8808/opt/anaconda3/lib/python3.7/site-packages/pandas/core/frame.py:2949(__getitem__)
     6892    0.017    0.000    0.036    0.000 /Users/seiryu8808/opt/anaconda3/lib/python3.7/posixpath.py:338(normpath)
     6890    0.016    0.000    0.133    0.000 /Users/seiryu8808/opt/anaconda3/lib/python3.7/site-packages/nltk/data.py:166(normalize_resource_url)
        8    0.014    0.002    0.014    0.002 /Users/seiryu8808/opt/anaconda3/lib/python3.7/site-packages/pandas/core/internals/blocks.py:372(set)
     6889    0.014    0.000    0.325    0.000 /Users/seiryu8808/opt/anaconda3/lib/python3.7/site-packages/nltk/tokenize/__init__.py:95(sent_tokenize)
      231    0.011    0.000    0.011    0.000 {built-in method posix.stat}
        1    0.011    0.011    0.011    0.011 {method 'read' of '_io.TextIOWrapper' objects}
     3050    0.009    0.000    0.043    0.000 /Users/seiryu8808/opt/anaconda3/lib/python3.7/site-packages/pandas/core/internals/managers.py:971(iget)
