         20310937 function calls (20131082 primitive calls) in 26.276 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      111    0.013    0.000    0.013    0.000 {built-in method numpy.empty}
    34454    0.013    0.000    0.033    0.000 /Users/seiryu8808/opt/anaconda3/lib/python3.7/site-packages/nltk/tokenize/punkt.py:473(is_initial)
        1    0.012    0.012   20.010   20.010 /Users/seiryu8808/opt/anaconda3/lib/python3.7/site-packages/sklearn/feature_extraction/text.py:1027(fit_transform)
    52454    0.011    0.000    0.013    0.000 /Users/seiryu8808/opt/anaconda3/lib/python3.7/site-packages/nltk/tokenize/punkt.py:435(type_no_sentperiod)
    23732    0.011    0.000    0.014    0.000 /Users/seiryu8808/opt/anaconda3/lib/python3.7/site-packages/nltk/tokenize/punkt.py:445(first_upper)
        1    0.009    0.009    0.009    0.009 /Users/seiryu8808/opt/anaconda3/lib/python3.7/site-packages/pandas/io/parsers.py:1896(__init__)
    34462    0.009    0.000    0.010    0.000 /Users/seiryu8808/opt/anaconda3/lib/python3.7/site-packages/nltk/tokenize/punkt.py:247(_word_tokenizer_re)
    34462    0.007    0.000    0.007    0.000 {method 'strip' of 'str' objects}
    18000    0.007    0.000    0.009    0.000 /Users/seiryu8808/opt/anaconda3/lib/python3.7/site-packages/nltk/tokenize/punkt.py:450(first_lower)
    56420    0.006    0.000    0.006    0.000 {method 'add' of 'set' objects}
        1    0.006    0.006    0.009    0.009 /Users/seiryu8808/opt/anaconda3/lib/python3.7/site-packages/sklearn/tree/tree.py:819(predict_proba)
        6    0.005    0.001    0.011    0.002 /Users/seiryu8808/opt/anaconda3/lib/python3.7/site-packages/pandas/core/internals/blocks.py:3305(_merge_blocks)
    16475    0.005    0.000    0.005    0.000 {method 'start' of 're.Match' objects}
        1    0.004    0.004    0.004    0.004 {built-in method scipy.sparse._sparsetools.csr_sum_duplicates}
        1    0.004    0.004    0.004    0.004 {built-in method scipy.sparse._sparsetools.csr_column_index1}
       59    0.004    0.000    0.004    0.000 {method 'reduce' of 'numpy.ufunc' objects}
        1    0.004    0.004    0.693    0.693 /Users/seiryu8808/opt/anaconda3/lib/python3.7/site-packages/pandas/io/parsers.py:425(_read)
        1    0.004    0.004    0.004    0.004 {built-in method scipy.sparse._sparsetools.csc_matvec}
        1    0.004    0.004    0.004    0.004 {method 'permutation' of 'numpy.random.mtrand.RandomState' objects}
    23732    0.004    0.000    0.004    0.000 {method 'isupper' of 'str' objects}
       31    0.004    0.000    0.004    0.000 {method 'ravel' of 'numpy.ndarray' objects}
    17404    0.003    0.000    0.003    0.000 {method 'end' of 're.Match' objects}
